Detailed Job Status
"This report shows the jobs details for selected job types, policy types and schedule types "
"Report Time Frame:Jan 15, 2024 12:00:00 AM to Feb 16, 2024 11:59:00 PM"
Job ID,Server Name,Status Code,Job Type,Client Name,Start Time,End Time,Duration,Volume(GB),Number of Files ,Throughput (KB/sec)
154,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:40 PM",00:00:29,0.2,13,"194,676,836"
155,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:50 PM",00:00:39,0.45,14,"232,429,360"
156,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:44 PM",00:00:33,0.26,8,"181,184,911"
157,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:44 PM",00:00:33,0.24,7,"159,773,070"
158,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:18:48 PM",00:00:37,0.33,12,"227,407,812"
159,Siebackup,0,Backup,saparchaix,"Feb 13, 2024 7:18:11 PM","Feb 13, 2024 7:19:04 PM",00:00:53,0.9,27,"191,623,306"
160,Siebackup,0,Duplication,L-SIEBACKUP,"Feb 13, 2024 7:22:17 PM","Feb 13, 2024 7:30:30 PM",00:08:13,45.95,0,0
161,Siebackup,0,Duplication,L-SIEBACKUP,"Feb 13, 2024 7:22:18 PM","Feb 13, 2024 9:43:46 PM",02:21:28,"1,069.34",0,0
162,Siebackup,0,Duplication,L-SIEBACKUP,"Feb 13, 2024 7:22:18 PM","Feb 13, 2024 9:00:20 PM",01:38:02,214.01,0,0
163,Siebackup,0,Duplication,L-SIEBACKUP,"Feb 13, 2024 7:22:18 PM","Feb 13, 2024 8:29:30 PM",01:07:12,450.2,0,0
164,Siebackup,0,Backup,acueora04,"Feb 13, 2024 7:27:22 PM","Feb 13, 2024 7:56:02 PM",00:28:40,0.02,1,13
165,Siebackup,0,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 7:29:26 PM","Feb 13, 2024 7:31:28 PM",00:02:02,0,1,38
166,Siebackup,0,Backup,virtualdbsql16.acueducto.red,"Feb 13, 2024 7:31:33 PM","Feb 13, 2024 7:32:02 PM",00:00:29,0,3,533
167,Siebackup,0,Duplication,L-SIEBACKUP,"Feb 13, 2024 7:32:18 PM","Feb 13, 2024 9:34:56 PM",02:02:38,260.74,0,0
168,Siebackup,0,Backup,L-SIEBACKUP,"Feb 13, 2024 7:50:00 PM","Feb 13, 2024 9:47:38 PM",01:57:38,0,0,0
169,Siebackup,0,Backup,acuecalito-bck,"Feb 13, 2024 7:50:01 PM","Feb 13, 2024 9:47:38 PM",01:57:37,0,0,0
170,Siebackup,0,Backup,acuecalito-bck,"Feb 13, 2024 7:50:18 PM","Feb 13, 2024 9:26:36 PM",01:36:18,23.86,1,"4,507"
171,Siebackup,0,Backup,acuecalito-bck,"Feb 13, 2024 7:50:18 PM","Feb 13, 2024 9:26:46 PM",01:36:28,37.86,1,"7,040"
172,Siebackup,0,Backup,acuecalito-bck,"Feb 13, 2024 7:50:18 PM","Feb 13, 2024 9:25:22 PM",01:35:04,14.26,1,"2,774"
173,Siebackup,0,Backup,acuecalito-bck,"Feb 13, 2024 7:50:19 PM","Feb 13, 2024 9:25:42 PM",01:35:23,23.26,1,"4,310"
174,Siebackup,0,Backup,acuecalito-bck,"Feb 13, 2024 7:50:19 PM","Feb 13, 2024 9:26:56 PM",01:36:37,16.58,1,"3,618"
175,Siebackup,0,Backup,acuecalito-bck,"Feb 13, 2024 7:50:20 PM","Feb 13, 2024 9:26:56 PM",01:36:36,37.8,1,"6,997"
176,Siebackup,0,Backup,acuecalito-bck,"Feb 13, 2024 7:50:20 PM","Feb 13, 2024 9:27:00 PM",01:36:40,30.64,1,"5,571"
177,Siebackup,0,Backup,acuecalito-bck,"Feb 13, 2024 7:50:21 PM","Feb 13, 2024 9:26:52 PM",01:36:31,23.18,1,"4,223"
178,Siebackup,0,Backup,acueora04,"Feb 13, 2024 7:56:11 PM","Feb 13, 2024 8:55:04 PM",00:58:53,0,1,2
